441.422479,62.342813
453.980832,63.4425611
469.173954,62.6932669
486.675838,63.4142176
499.19743,64.1294016
514.471648,62.6780856
440.691216,72.4592716
455.130363,72.2865045
470.74453,71.6387182
487.079618,73.1993269
500.204617,71.9753161
513.821507,73.5678381
442.088819,82.6921153
453.614662,83.1851252
469.080926,83.7468927
486.532654,82.6242715
499.254703,81.2565487
514.802898,82.8165016
442.110793,90.74839
455.826749,93.0559313
471.783615,91.8445722
484.087036,90.8128578
498.645541,92.9881316
516.235054,91.0687079
439.540824,102.561594
454.71923,102.20366
469.062409,100.465155
486.136517,101.822831
498.644576,101.547655
516.59562,102.146975
439.399005,109.975171
455.059227,110.707223
468.724974,112.005343
483.735243,111.27359
498.470151,112.234691
515.392308,111.415869
